"paper","study","design","level","index","paper_statistic","paper_value","cier_value","delta","status","n","note"
"goldammer_battery_2024","4","WS","partial","Synonyms","AUC",0.85,0.583,-0.267,"differs",236,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 230 of 236 respondents (abstentions excluded)"
"goldammer_battery_2024","4","WS","partial","Synonyms (careful-reference)","AUC",0.85,0.836,-0.014,"close",236,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","4","WS","partial","Time","AUC",0.69,,,"not_implemented",236,"timing indices are outside cier's scope"
"goldammer_battery_2024","4","WS","partial","lz","AUC",0.58,,,"not_implemented",236,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","4","WS","partial","r_pbis","AUC",0.77,0.761,-0.009,"close",236,""
"goldammer_battery_2024","5","BS","full","Antonyms","AUC",0.9,,,"abstains",361,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","BS","full","Antonyms (careful-reference)","AUC",0.9,0.933,0.033,"differs",361,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 351 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Gnormed","AUC",0.8,0.789,-0.011,"close",361,""
"goldammer_battery_2024","5","BS","full","Ht","AUC",0.69,0.641,-0.049,"differs",361,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","BS","full","INDCHI","AUC",0.64,,,"not_implemented",361,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","IRV","AUC",0.67,0.669,-0.001,"matches",361,""
"goldammer_battery_2024","5","BS","full","Infit","AUC",0.77,,,"not_implemented",361,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","Longstring","AUC",0.68,0.678,-0.002,"matches",361,""
"goldammer_battery_2024","5","BS","full","MD","AUC",0.85,0.746,-0.104,"differs",361,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","BS","full","Outfit","AUC",0.78,,,"not_implemented",361,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","RPR","AUC",0.93,0.934,0.004,"matches",361,""
"goldammer_battery_2024","5","BS","full","Synonyms","AUC",0.9,0.84,-0.06,"differs",361,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 343 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Synonyms (careful-reference)","AUC",0.9,0.911,0.011,"close",361,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 352 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","full","Time","AUC",0.88,,,"not_implemented",361,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","BS","full","lz","AUC",0.83,,,"not_implemented",361,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","BS","full","r_pbis","AUC",0.87,0.869,-0.001,"matches",361,"scored on 356 of 361 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Antonyms","AUC",0.82,,,"abstains",360,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","BS","partial","Antonyms (careful-reference)","AUC",0.82,0.859,0.039,"differs",360,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 359 of 360 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Gnormed","AUC",0.7,0.699,-0.001,"matches",360,""
"goldammer_battery_2024","5","BS","partial","Ht","AUC",0.65,0.604,-0.046,"differs",360,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","BS","partial","INDCHI","AUC",0.48,,,"not_implemented",360,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","IRV","AUC",0.57,0.567,-0.003,"matches",360,""
"goldammer_battery_2024","5","BS","partial","Infit","AUC",0.68,,,"not_implemented",360,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","Longstring","AUC",0.6,0.599,-0.001,"matches",360,""
"goldammer_battery_2024","5","BS","partial","MD","AUC",0.81,0.766,-0.044,"differs",360,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","BS","partial","Outfit","AUC",0.69,,,"not_implemented",360,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","RPR","AUC",0.85,0.845,-0.005,"close",360,""
"goldammer_battery_2024","5","BS","partial","Synonyms","AUC",0.86,0.761,-0.099,"differs",360,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 357 of 360 respondents (abstentions excluded)"
"goldammer_battery_2024","5","BS","partial","Synonyms (careful-reference)","AUC",0.86,0.852,-0.008,"close",360,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","5","BS","partial","Time","AUC",0.61,,,"not_implemented",360,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","BS","partial","lz","AUC",0.72,,,"not_implemented",360,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","BS","partial","r_pbis","AUC",0.71,0.709,-0.001,"matches",360,""
"goldammer_battery_2024","5","WS","full","Antonyms","AUC",0.9,,,"abstains",242,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","WS","full","Antonyms (careful-reference)","AUC",0.9,0.925,0.025,"close",242,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 233 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Gnormed","AUC",0.84,0.831,-0.009,"close",242,""
"goldammer_battery_2024","5","WS","full","Ht","AUC",0.73,0.809,0.079,"differs",242,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","WS","full","INDCHI","AUC",0.64,,,"not_implemented",242,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","IRV","AUC",0.66,0.662,0.002,"matches",242,""
"goldammer_battery_2024","5","WS","full","Infit","AUC",0.66,,,"not_implemented",242,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","Longstring","AUC",0.69,0.689,-0.001,"matches",242,""
"goldammer_battery_2024","5","WS","full","MD","AUC",0.88,0.647,-0.233,"differs",242,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","WS","full","Outfit","AUC",0.67,,,"not_implemented",242,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","RPR","AUC",0.93,0.932,0.002,"matches",242,""
"goldammer_battery_2024","5","WS","full","Synonyms","AUC",0.9,0.808,-0.092,"differs",242,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 226 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Synonyms (careful-reference)","AUC",0.9,0.916,0.016,"close",242,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents; scored on 233 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","full","Time","AUC",0.92,,,"not_implemented",242,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","WS","full","lz","AUC",0.71,,,"not_implemented",242,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","WS","full","r_pbis","AUC",0.91,0.909,-0.001,"matches",242,"scored on 237 of 242 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","partial","Antonyms","AUC",0.74,,,"abstains",240,"whole-sample pairing at critical_r = .60 finds no qualifying item pairs on the careless-contaminated responses, so the index abstains by design"
"goldammer_battery_2024","5","WS","partial","Antonyms (careful-reference)","AUC",0.74,0.79,0.05,"differs",240,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","5","WS","partial","Gnormed","AUC",0.72,0.722,0.002,"matches",240,""
"goldammer_battery_2024","5","WS","partial","Ht","AUC",0.71,0.846,0.136,"differs",240,"the per-domain scalability is computed on the full wave rather than the paper's careful-referenced construction: on the two-wave studies this separates the within-person contrast more strongly and the between-group contrast slightly less; the statistic itself matches mokken"
"goldammer_battery_2024","5","WS","partial","INDCHI","AUC",0.46,,,"not_implemented",240,"model-based misfit index (INDCHI) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","IRV","AUC",0.52,0.522,0.002,"matches",240,""
"goldammer_battery_2024","5","WS","partial","Infit","AUC",0.5,,,"not_implemented",240,"parametric IRT person-fit (infit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","Longstring","AUC",0.59,0.593,0.003,"matches",240,""
"goldammer_battery_2024","5","WS","partial","MD","AUC",0.81,0.607,-0.203,"differs",240,"cier centres the Mahalanobis distance on the whole sample; the authors used the careful respondents as the reference group, which an applied screen does not know"
"goldammer_battery_2024","5","WS","partial","Outfit","AUC",0.5,,,"not_implemented",240,"parametric IRT person-fit (outfit MSE) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","RPR","AUC",0.81,0.805,-0.005,"close",240,""
"goldammer_battery_2024","5","WS","partial","Synonyms","AUC",0.82,0.619,-0.201,"differs",240,"whole-sample pairing finds only a few attenuated synonym pairs on the careless second wave (and the two waves pair differently), depressing the score; the careful-reference rows show the paper's label-using construction; scored on 239 of 240 respondents (abstentions excluded)"
"goldammer_battery_2024","5","WS","partial","Synonyms (careful-reference)","AUC",0.82,0.798,-0.022,"close",240,"pairs derived from the careful conditions (label-using, the paper's construction), scored on all respondents"
"goldammer_battery_2024","5","WS","partial","Time","AUC",0.68,,,"not_implemented",240,"timing indices are outside cier's scope"
"goldammer_battery_2024","5","WS","partial","lz","AUC",0.5,,,"not_implemented",240,"parametric IRT person-fit (lz) is not implemented in cier"
"goldammer_battery_2024","5","WS","partial","r_pbis","AUC",0.7,0.695,-0.005,"matches",240,""
"goldammer_rpr_2024","","","16 facets","PR","AUC",0.933,0.934,0.001,"matches",359,""
"goldammer_rpr_2024","","","16 facets","PR","SEN95",0.744,0.782,0.038,"differs",359,"the paper estimates SEN95 with tie-corrected nonparametric ROC regression; this check uses the plain empirical 95%-specificity cutoff"
"goldammer_rpr_2024","","","16 facets","RPR100","AUC",0.959,0.957,-0.002,"matches",359,""
"goldammer_rpr_2024","","","16 facets","RPR100","SEN95",0.828,0.803,-0.025,"close",359,""
"goldammer_rpr_2024","","","16 facets","RPR25","AUC",0.955,0.958,0.003,"matches",359,""
"goldammer_rpr_2024","","","16 facets","RPR25","SEN95",0.815,0.782,-0.033,"differs",359,"the paper estimates SEN95 with tie-corrected nonparametric ROC regression; this check uses the plain empirical 95%-specificity cutoff"
"goldammer_rpr_2024","","","16 facets","RPR50","AUC",0.956,0.957,0.001,"matches",359,""
"goldammer_rpr_2024","","","16 facets","RPR50","SEN95",0.786,0.786,0,"matches",359,""
"goldammer_rpr_2024","","","23 facets","PR","AUC",0.942,0.943,0.001,"matches",359,""
"goldammer_rpr_2024","","","23 facets","PR","SEN95",0.749,0.744,-0.005,"close",359,""
"goldammer_rpr_2024","","","23 facets","RPR100","AUC",0.964,0.964,0,"matches",359,""
"goldammer_rpr_2024","","","23 facets","RPR100","SEN95",0.87,0.861,-0.009,"close",359,""
"goldammer_rpr_2024","","","23 facets","RPR25","AUC",0.963,0.964,0.001,"matches",359,""
"goldammer_rpr_2024","","","23 facets","RPR25","SEN95",0.845,0.861,0.016,"close",359,""
"goldammer_rpr_2024","","","23 facets","RPR50","AUC",0.965,0.965,0,"matches",359,""
"goldammer_rpr_2024","","","23 facets","RPR50","SEN95",0.887,0.87,-0.017,"close",359,""
"goldammer_rpr_2024","","","6 facets","PR","AUC",0.65,0.651,0.001,"matches",359,""
"goldammer_rpr_2024","","","6 facets","PR","SEN95",,,,"not_evaluated",359,"the paper reports no SEN95 for conventional PR with six facets (a false-positive rate of 5% was not reachable; Table 9, footnote a)"
"goldammer_rpr_2024","","","6 facets","RPR100","AUC",0.684,0.687,0.003,"close",359,""
"goldammer_rpr_2024","","","6 facets","RPR100","SEN95",0.105,0.143,0.038,"differs",359,"the paper estimates SEN95 with tie-corrected nonparametric ROC regression; this check uses the plain empirical 95%-specificity cutoff"
"goldammer_rpr_2024","","","6 facets","RPR25","AUC",0.687,0.686,-0.001,"matches",359,""
"goldammer_rpr_2024","","","6 facets","RPR25","SEN95",0.092,0.126,0.034,"differs",359,"the paper estimates SEN95 with tie-corrected nonparametric ROC regression; this check uses the plain empirical 95%-specificity cutoff"
"goldammer_rpr_2024","","","6 facets","RPR50","AUC",0.693,0.691,-0.002,"matches",359,""
"goldammer_rpr_2024","","","6 facets","RPR50","SEN95",0.113,0.118,0.005,"close",359,""
"schroeders_2022","","","","Antonyms","accuracy",0.86,0.857,-0.003,"matches",180,""
"schroeders_2022","","","","Antonyms","balanced accuracy",0.53,0.525,-0.005,"close",180,""
"schroeders_2022","","","","Antonyms","precision",0.17,0.172,0.002,"matches",180,""
"schroeders_2022","","","","Antonyms","sensitivity",0.11,0.111,0.001,"matches",180,""
"schroeders_2022","","","","Antonyms","specificity",0.94,0.94,0,"matches",180,""
"schroeders_2022","","","","Even-odd","accuracy",0.84,0.842,0.002,"matches",180,""
"schroeders_2022","","","","Even-odd","balanced accuracy",0.55,0.551,0.001,"matches",180,""
"schroeders_2022","","","","Even-odd","precision",0.19,0.194,0.004,"matches",180,""
"schroeders_2022","","","","Even-odd","sensitivity",0.19,0.188,-0.002,"matches",180,""
"schroeders_2022","","","","Even-odd","specificity",0.91,0.914,0.004,"matches",180,""
"schroeders_2022","","","","GBM (response times)","accuracy",0.7,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (response times)","balanced accuracy",0.64,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (response times)","precision",0.18,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (response times)","sensitivity",0.56,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (response times)","specificity",0.71,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses + times)","accuracy",0.7,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses + times)","balanced accuracy",0.66,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses + times)","precision",0.19,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses + times)","sensitivity",0.6,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses + times)","specificity",0.71,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses)","accuracy",0.59,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses)","balanced accuracy",0.6,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses)","precision",0.14,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses)","sensitivity",0.61,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","GBM (responses)","specificity",0.58,,,"not_implemented",180,"machine-learning classifiers are outside cier's scope"
"schroeders_2022","","","","IRV","accuracy",0.83,0.827,-0.003,"matches",180,""
"schroeders_2022","","","","IRV","balanced accuracy",0.52,0.52,0,"matches",180,""
"schroeders_2022","","","","IRV","precision",0.14,0.136,-0.004,"matches",180,""
"schroeders_2022","","","","IRV","sensitivity",0.14,0.137,-0.003,"matches",180,""
"schroeders_2022","","","","IRV","specificity",0.9,0.904,0.004,"matches",180,""
"schroeders_2022","","","","Longstring","accuracy",0.82,0.822,0.002,"matches",180,""
"schroeders_2022","","","","Longstring","balanced accuracy",0.54,0.536,-0.004,"matches",180,""
"schroeders_2022","","","","Longstring","precision",0.16,0.155,-0.005,"matches",180,""
"schroeders_2022","","","","Longstring","sensitivity",0.18,0.178,-0.002,"matches",180,""
"schroeders_2022","","","","Longstring","specificity",0.9,0.894,-0.006,"close",180,""
"schroeders_2022","","","","Mahalanobis","accuracy",0.8,0.806,0.006,"close",180,""
"schroeders_2022","","","","Mahalanobis","balanced accuracy",0.53,0.527,-0.003,"matches",180,""
"schroeders_2022","","","","Mahalanobis","precision",0.13,0.137,0.007,"close",180,""
"schroeders_2022","","","","Mahalanobis","sensitivity",0.18,0.178,-0.002,"matches",180,""
"schroeders_2022","","","","Mahalanobis","specificity",0.87,0.876,0.006,"close",180,""
"schroeders_2022","","","","Zh","accuracy",0.67,,,"not_implemented",180,"parametric IRT person-fit (mirt Zh) is not implemented in cier"
"schroeders_2022","","","","Zh","balanced accuracy",0.54,,,"not_implemented",180,"parametric IRT person-fit (mirt Zh) is not implemented in cier"
"schroeders_2022","","","","Zh","precision",0.12,,,"not_implemented",180,"parametric IRT person-fit (mirt Zh) is not implemented in cier"
"schroeders_2022","","","","Zh","sensitivity",0.38,,,"not_implemented",180,"parametric IRT person-fit (mirt Zh) is not implemented in cier"
"schroeders_2022","","","","Zh","specificity",0.7,,,"not_implemented",180,"parametric IRT person-fit (mirt Zh) is not implemented in cier"
